seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
7,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,138,20
20,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,42,7
1,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,163,5
24,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,55,8
9,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,131,12
25,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,7,6
27,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,69,19
26,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,134,5
30,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,124,10
10,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,168,5
20,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,59,22
13,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,5,12
18,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,134,14
30,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,23,15
1,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,87,20
8,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,70,4
29,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,14,10
3,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,67,8
22,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,81,22
29,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,191,7
13,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,113,13
19,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,59,14
29,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,150,16
1,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,94,15
27,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,148,7
25,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,65,13
12,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,130,11
14,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,110,14
13,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,135,16
13,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,48,39
19,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,176,6
17,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,131,9
2,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,79,3
12,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,130,11
17,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,167,9
1,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,151,6
6,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,54,9
21,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,106,22
23,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,124,10
4,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,107,15
12,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,73,23
27,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,148,10
3,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,99,26
16,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,133,21
10,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,87,26
5,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,34,9
3,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,13,2
12,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,114,13
8,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,102,9
15,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,38,16
