seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
5,9,32,256,0.8,20.0,az_good.ckpt,az_good.ckpt,38,17
9,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,6,7
8,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,1,8
3,9,32,256,0.5,20.0,az_good.ckpt,az_good.ckpt,14,10
1,9,32,256,0.5666,0.1,az_good.ckpt,az_good.ckpt,24,10
8,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,1,9
8,9,32,256,0.9666,0.1,az_good.ckpt,az_good.ckpt,3,8
8,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,3,8
1,9,32,256,0.6333,0.1,az_good.ckpt,az_good.ckpt,11,4
10,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,15,8
6,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,3,0
1,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,243,4
2,9,32,256,0.0,20.0,az_good.ckpt,az_good.ckpt,247,1
6,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,216,16
4,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,139,2
8,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,3,8
7,9,32,256,0.8,0.1,az_good.ckpt,az_good.ckpt,15,0
10,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,7,7
5,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,4,4
7,9,32,256,0.0,20.0,az_good.ckpt,az_good.ckpt,247,3
9,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,199,14
10,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,206,12
1,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,221,5
7,9,32,256,0.7666,0.1,az_good.ckpt,az_good.ckpt,15,0
1,9,32,256,1.0,20.0,az_good.ckpt,az_good.ckpt,13,7
9,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,60,17
8,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,9,9
8,9,32,256,0.8,0.1,az_good.ckpt,az_good.ckpt,3,9
4,9,32,256,0.0666,0.1,az_good.ckpt,az_good.ckpt,246,0
4,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,237,6
8,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,3,8
3,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,29,13
10,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,5,13
5,9,32,256,0.7666,0.1,az_good.ckpt,az_good.ckpt,21,21
8,9,32,256,0.5666,0.1,az_good.ckpt,az_good.ckpt,13,8
7,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,10,8
