seed,sampling_method,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
28,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,42,39
6,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,31,38
7,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,32,48
24,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,36,26
6,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,37,34
25,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,28,31
16,dirichlet-sample,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,25,33
30,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,44,35
30,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,47,36
7,dirichlet-sample,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,32,48
15,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,38,21
8,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,28,19
12,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,33,43
9,dirichlet-sample,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,31,16
19,dirichlet-sample,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,27,35
8,dirichlet-sample,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,28,19
10,dirichlet-sample,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,38,29
26,dirichlet-sample,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,41,37
5,dirichlet-sample,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,27,41
14,dirichlet-sample,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,34,46
19,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,31,36
20,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,40,37
23,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,30,37
15,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,40,18
7,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,31,49
18,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,20,39
27,dirichlet-sample,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,31,26
8,dirichlet-sample,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,28,19
19,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,31,36
9,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,31,16
11,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,36,32
21,dirichlet-sample,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,52,28
22,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,30,46
1,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,44,29
27,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,29,41
11,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,36,32
16,dirichlet-sample,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,26,33
22,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,30,46
13,dirichlet-sample,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,19,36
17,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,21,33
29,dirichlet-sample,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,44,31
10,dirichlet-sample,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,39,28
1,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,43,30
13,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,19,36
4,dirichlet-sample,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,42,43
17,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,23,33
8,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,28,19
18,dirichlet-sample,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,18,35
6,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,31,38
10,dirichlet-sample,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,39,28
14,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,37,38
25,dirichlet-sample,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,28,34
5,dirichlet-sample,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,35,22
20,dirichlet-sample,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,36,32
2,dirichlet-sample,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,34,25
2,dirichlet-sample,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,35,28
26,dirichlet-sample,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,51,29
20,dirichlet-sample,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,40,34
4,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,42,43
5,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,35,22
20,dirichlet-sample,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,36,32
24,dirichlet-sample,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,33,27
4,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,34,38
30,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,47,36
27,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,30,39
12,dirichlet-sample,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,38,46
25,dirichlet-sample,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,26,32
