seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
4,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,212,8
3,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,15,7
25,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,29,12
23,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,137,8
2,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,156,9
29,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,198,19
15,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,197,8
14,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,16,19
4,9,32,256,2.4,1.0,az_good.ckpt,az_good.ckpt,8,9
28,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,184,7
18,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,13,1
21,9,32,256,2.6,1.0,az_good.ckpt,az_good.ckpt,9,9
26,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,25,9
7,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,18,2
20,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,201,12
31,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,17,9
3,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,19,25
31,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,3,0
14,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,170,2
27,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,133,16
23,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,41,6
16,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,151,2
12,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,227,2
12,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,17,23
5,9,32,256,2.4,1.0,az_good.ckpt,az_good.ckpt,51,12
20,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,117,13
16,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,11,16
26,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,19,14
17,9,32,256,1.4,1.0,az_good.ckpt,az_good.ckpt,55,17
27,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,172,20
24,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,157,16
28,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,180,12
10,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,19,12
